,Category,Message,Number of exclamations,Question Marks,words,STOP WORDS,NUMBER OF STOP WORDS,DATE,ORG,CARDINAL,LOC,GPE,EVENT,MONEY,number of dates,number of Cardinals,number of financial Terms,number of Times,ADJECTIVES,Number of ADJECTIVES,INTERJECTION,Number of INTERJECTION,NOUNS,Number of NOUNS,Verbs,Number of Verbs,WHwords,Number of WHwords,Foreign word,Number of Foreign word,Foreign Word,Number of digits
22,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,1,1,25,"['a', 'if', 'which', 'the', 'is', 'in', 'to']",7,['82277'],['Sony'],[],[],0,0,['1.50'],1,0,1,0,"['top', '£1.50']",2,[],0,"['Sunshine', 'Quiz', 'Wkly', 'Q', 'Win', 'Sony', 'DVD', 'player', 'u', 'country', 'Algarve', 'Txt', 'ansr', 'SP', 'Tyrone']",15,"['know', 'is']",2,[],0,[],0,,8
23,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,2,28,"['the', 'to']",2,['31p.msg@150p'],['Dogging Network'],"['2', '69888']",[],0,0,[],1,2,0,1,"['Want', 'real', 'direct', 'ur', 'largest', '@']",6,[],0,"['get', 'locations', 'mob', 'UK', 'Network', 'bt', 'Txting', 'GRAVEL', 'Nt', 'ec2a']",10,"['Want', 'laid', 'Dogging', 'sent', 'Join', 'Dogging']",6,[],0,[],0,,13
24,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,0,0,32,"['not', 'any', 'more', 'from', 'the', 'to', 'with', 'again']",8,[],[],['69988'],[],0,0,[],0,1,0,0,"['more', 'u']",2,[],0,"['msgs', 'chat', 'svc', 'FREE', 'Hardcore', 'services', 'GO', 'nothing', 'u', 'Verify', 'yr', 'network', 'try']",13,"['rcv', 'get', 'Age']",3,[],0,[],0,,5
25,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",0,1,29,"['have', 'you', 'to', 'my', 'and', 'to', 'from', 'to']",8,[],[],[],[],0,0,[],0,0,0,0,"['Randy', 'sexy', 'female', 'live', 'local', 'u.']",6,[],0,"['FreeMsg', 'text', 'Luv', 'Netcollex', 'Ltd', 'msg', 'reply', 'Stop']",8,"['have', 'replied', ""'m"", 'hear', 'end']",5,[],0,[],0,,14
26,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,0,0,19,"['have', 'a', 'for', 'you', 'now', 'to']",6,[],[],[],[],0,0,[],0,0,0,0,['call'],1,[],0,"['Customer', 'service', 'annoncement', 'New', 'Years', 'delivery', 'delivery']",7,"['have', 'waiting', 'Please', 'arrange']",4,[],0,[],0,,11
27,spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,0,0,27,"['are', 'a', 'have', 'been', 'or', 'a', 'to', 'a']",8,[],[],"['2', '4', '2']",[],0,0,['1000'],0,3,1,0,"['receive', 'live']",2,[],0,"['winner', 'U', '£1000', 'cash', '*', 'holiday', 'flights', 'inc', 'speak', 'operator', 'claim']",11,"['are', 'have', 'been', 'selected']",4,[],0,[],0,,20
28,spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,0,1,24,"['is', 'you', 'to', 'be', 'her', 'or', 'her', 'to']",8,"['32/F', '62468']",[],[],[],0,0,[],2,0,0,0,"['-PLS', 'YES-434', 'NO-434', 'www.SMS.ac/u/bootydelious']",4,[],0,"['STOP', 'bootydelious', 'friend', 'See', 'STOP', 'Send', 'STOP', 'FRND']",8,"['is', 'inviting', 'be', 'Reply']",4,[],0,[],0,,13
29,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",0,0,30,"['is', 'on', 'the', 'a', 'do', 'not', 'on']",7,[],['SHOULD'],['2'],[],0,0,[],0,1,0,0,['mobile'],1,[],0,"['BangBabes', 'Ur', 'order', 'way', 'U', 'SHOULD', 'Service', 'Msg', 'download', 'UR', 'content', 'U', 'GoTo', 'wap', 'bangb', 'tv', 'UR', 'internet/service', 'menu']",19,"['is', 'receive', 'do']",3,[],0,[],0,,1
30,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1,0,27,"['are', 'to', 'you', 'that', 'you', 'have', 'won', 'a', 'only']",9,[],[],['12hrs'],[],0,0,['£900'],0,1,1,0,"['Last', 'draw', '£900']",3,[],0,"['URGENT', 'weekends', 'shows', 'prize', 'GUARANTEED', 'Claim', 'code', 'S89', 'Valid']",9,"['are', 'trying', 'contact', 'have', 'won', 'Call']",6,[],0,[],0,,18
31,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,0,24,"['our', 'on', 'between', 'as', 'you', 'have', 'a', 'or']",8,[],[],['145 4742'],[],0,0,['5000'],0,1,1,0,['guaranteed'],1,[],0,"['customer', 'service', 'representative', 'FREEPHONE', 'cash', 'prize']",6,"['Please', 'call', 'have', 'WON']",4,[],0,[],0,,22
32,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,0,1,10,"['you', 'out', 'from']",3,['30th August'],[],[],[],0,0,[],1,0,0,0,['unique'],1,[],0,"['Are', 'August', 'www.areyouunique.co.uk']",3,['Find'],1,[],0,[],0,,2
33,spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",2,0,21,"['from', 'to', 'yours']",3,['2004'],['89545 &'],"['500', '2optout 087187262701.50gbp/mtmsg18']",[],0,0,[],1,2,0,0,"['collect', 'ONLY', '£1', 'www.4-tc.biz']",4,[],0,"['New', 'Mobiles', 'MUST', 'GO', 'Txt', 'NOKIA', 'yours', 'today']",8,[],0,[],0,[],0,,31
34,spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",0,2,30,"['off', 'a', 'out', 'by']",4,[],[],"['2', '2']",[],0,0,[],0,2,0,0,"['ur', 'ur', 'flyng', 'free', 'txt', 'ur', 'e.']",7,[],0,"['dream', 'partner', 'career', 'start', 'HORO', 'star', 'sign', 'g.', 'HORO', 'ARIES']",10,"['u', 'meet', 'Is', 'find', 'followed']",5,[],0,[],0,,2
35,spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,0,0,34,"['can', 'a', 'or', 'its', 'up', 'to', 'just', 'with']",8,['today'],"['Text &', 'NAME & AGE']",['18'],[],0,0,[],1,1,0,0,['-msg'],1,[],0,"['Text', 'someone', 'sexy', 'today', 'U', 'date', 'U', 'Join', 'REPLY', 'NAME', 'AGE', 'Sam', 'recd', '@', 'pence']",15,"['meet', 'find', 'flirt', 'eg', 'thirtyeight']",5,[],0,[],0,,7
36,spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,0,0,25,"['have', 'a', 'who', 'is', 'with', 'out', 'who', 'they', 'who', 'so', 'on']",11,[],['U 447801259231'],"['2', '09058094597']",[],0,0,[],0,2,0,0,"['secret', 'make', '*', 'special-call']",4,[],0,"['admirer', 'contact', 'U-find', 'reveal', 'UR']",5,"['have', 'is', 'looking', 'R', 'thinks']",5,"['who', 'who', 'who']",3,"['who', 'who', 'who']",3,,24
37,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,0,0,23,"['of', 'or', 'to']",3,['87066'],['MUSIC'],"['500', '2 100']",[],0,0,[],1,2,0,0,['wkly'],1,[],0,"['Congratulations', 'CD', 'vouchers', 'Free', 'entry', 'draw', 'txt', 'MUSIC', 'TnCs', 'www.Ldew.com1win150ppmx3age16']",10,"['ur', 'awarded', 'guaranteed']",3,[],0,[],0,,22
38,spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,0,4,27,"['to', 'you', 're', 'your', 'to', 'our', 'of', 'a', 'or']",9,[],[],['750'],[],0,0,[],0,1,0,0,[],0,[],0,"['reply', 'offer', 'Video', 'Handset', 'anytime', 'networks', 'mins', 'UNLIMITED', 'TEXT', 'Camcorder', 'Reply', 'NOW']",12,"['tried', 'contact', 're', 'call']",4,[],0,[],0,,14
39,spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,0,0,25,"['am', 'to', 'or', 'me', 'to', 'at', 'to']",7,"['69698', '69698']",['150pm'],[],[],0,0,[],2,0,0,0,"['horny', 'naked', 'text', 'text']",4,[],0,"['Hey', 'hot', 'text', 'stop']",4,"['am', 'want', 'chat', 'see', 'charged', 'unsubscribe']",6,[],0,[],0,,13
40,spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,3,1,27,"['has', 'to', 'to', 'now', 'to']",5,['87070'],['CLUB STOP'],"['25', '2WT']",[],0,0,[],1,2,0,0,['Free'],1,[],0,"['Ur', 'ringtone', 'service', 'credits', 'content', 'Stop', 'txt', 'CLUB', 'STOP', 'Club4', 'PO', 'Box1146', 'MK45']",13,"['has', 'changed', 'Go', 'club4mobiles.com', 'choose']",5,[],0,[],0,,19
41,spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,1,0,24,"['the', 'on', 'your', 'each', 'and', 'any', 'is', 'of']",8,[],[],[],[],0,0,[],0,0,0,0,"['mobile', 'top', 'free']",3,[],0,"['Ringtone', 'Club', 'UK', 'singles', 'week', 'quality', 'ringtone', 'message', 'charge']",9,"['Get', 'chart', 'choose', 'is']",4,[],0,[],0,,0
42,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,1,0,25,"['of', 'to', 'be', 'won', 'to']",5,['86688'],['HMV'],['4'],[],0,0,[],1,1,0,0,"['genuine', 'easy', 'More']",3,[],0,"['HMV', 'BONUS', 'SPECIAL', 'pounds', 'HMV', 'vouchers', 'Just', 'questions', 'Send', 'HMV', 'info', 'www.100percent-real.com']",12,"['be', 'won', 'Play']",3,[],0,[],0,,12
43,spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,0,0,29,"['you', 'now', 'your', 'a', 'for', 'your', 'on']",7,[],['T&C'],['28thFeb'],[],0,0,[],0,1,0,0,"['T-Mobile', 'sim']",2,[],0,"['customer', 'FREE', 'CAMERA', 'PHONE', 'pay', 'card', 'loyalty', 'ends', 'C', 'apply']",10,"['claim', 'upgrade', 'go', 'Call']",4,[],0,[],0,,13
44,spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",2,0,23,"['is', 'from', 'out', 'no']",4,[],"['SMS', 'ac/W']",['21'],[],0,0,[],0,1,0,0,[],0,[],0,"['SMS', 'ac', 'Blind', 'Date', 'Rodds1', 'Aberdeen', 'United', 'Kingdom', 'Check', 'Him', 'http', '//img', 'sms', 'ac/W/icmb3cktz8r7', 'Blind', 'Dates', 'HIDE']",17,"['is', '-4', 'send']",3,[],0,[],0,,8
45,spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",0,0,24,"['out', 'our', 'of', 'and', 'your', 'and', 'to']",7,[],['WAP'],['82468'],[],0,0,[],0,1,0,0,"['newest', 'mobile', 'funky']",3,[],0,"['TheMob', '>', 'Check', 'selection', 'content', 'Games', 'Tones', 'Gossip', 'babes', 'sport', 'fit', 'text', 'WAP']",13,['Keep'],1,[],0,[],0,,5
46,spam,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",1,1,25,"['this', 'in', 'our', 'to', 'now']",5,"['this week', 'weekly', '85222', '16+']",['GBP1.50'],[],[],0,0,['200'],4,0,1,0,"['ur', 'weekly', 'text']",3,[],0,"['Think', 'Win', '£200', 'week', 'quiz', 'PLAY', 'T', 'Cs', 'WinnersClub', 'PO', 'BOX', 'M26']",12,['GBP1.50/week'],1,[],0,[],0,,18
47,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,2,1,27,"['only', 'your', 'are', 'to', 'to', 'the', 'for', 'on']",8,"['December', '08002986906']",[],[],[],0,0,[],2,0,0,0,"['mobile', 'latest', 'Free']",3,[],0,"['December', 'colour', 'camera', 'mobile', 'Mobile', 'Update', 'Co', 'FREE']",8,"['Had', 'are', 'entitled', 'update', 'Call']",5,[],0,[],0,,13
48,spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,2,0,24,"['for', 'only', 'from', 'a']",4,[],[],['0844'],[],0,0,['only 1 pence'],0,1,1,0,"['fixed', 'Direct']",2,[],0,"['Call', 'Germany', 'pence', 'minute', 'Call', 'line', 'access', 'number', 'prepayment', 'access']",10,[],0,[],0,[],0,,12
49,spam,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,2,0,27,"['over', 'in', 'our', 'and', 'your', 'on', 'the', 'of', 'a', 'to', 'now']",11,[],['Valentines Day Special!'],['83600'],[],0,0,[],0,1,0,0,[],0,[],0,"['Valentines', 'Day', 'Special', 'Win', '£1000', 'quiz', 'partner', 'trip', 'lifetime', 'Send', 'GO', 'rcvd', 'CustCare:08718720201']",13,['take'],1,[],0,[],0,,23
50,spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,0,2,20,"['a', 'to', 'on']",3,0,0,0,0,0,0,0,1,1,0,0,[],0,[],0,"['Fancy', 'shag', 'sextextuk.com', 'txt', 'XXUK', 'SUZY', 'cost', 'msg', 'TnCs', 'website', 'X']",11,"['do.Interested', 'Txts']",2,[],0,[],0,,8
51,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,0,0,23,"['of', 'or', 'to']",3,0,0,0,0,0,0,0,1,2,0,0,['wkly'],1,[],0,"['Congratulations', 'CD', 'vouchers', 'Free', 'entry', 'draw', 'txt', 'MUSIC', 'TnCs', 'www.Ldew.com1win150ppmx3age16']",10,"['ur', 'awarded', 'guaranteed']",3,[],0,[],0,,22
52,spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,0,0,22,"['is', 'to', 'now', 'to', 'only']",5,0,0,0,0,0,0,0,1,1,0,0,['ur'],1,[],0,"['Ur', 'cash-balance', 'pounds', 'cash-in', 'CASH', 'CC', 'HG/Suite342/2Lands', 'Row/W1J6HL']",8,"['is', 'maximize', 'send']",3,[],0,[],0,,28
